2023-05-02 11:15:42:	logging to ppo/Acrobot-v1/2023-05-02-11-15-10-238383
2023-05-02 11:15:42:	saved parameters.txt to ppo/Acrobot-v1/2023-05-02-11-15-10-238383/parameters.txt
2023-05-02 11:15:42:	Initializing Environment
2023-05-02 11:15:42:	Initializing Agent
2023-05-02 11:15:42:	Initializing Trainer
2023-05-02 11:15:42:	Started training
2023-05-02 11:15:45:	Timestep:2001	Evaluation return -500.000000
2023-05-02 11:15:48:	Timestep:4002	Evaluation return -500.000000
2023-05-02 11:15:51:	Timestep:6003	Evaluation return -500.000000
2023-05-02 11:15:53:	Timestep:8004	Evaluation return -500.000000
2023-05-02 11:15:56:	Timestep:10005	Evaluation return -481.000000
2023-05-02 11:15:59:	Timestep:12006	Evaluation return -500.000000
2023-05-02 11:16:01:	Timestep:14007	Evaluation return -488.000000
2023-05-02 11:16:04:	Timestep:16008	Evaluation return -409.800000
2023-05-02 11:16:07:	Timestep:18009	Evaluation return -500.000000
2023-05-02 11:16:09:	Timestep:20010	Evaluation return -451.400000
2023-05-02 11:16:12:	Timestep:22011	Evaluation return -496.600000
2023-05-02 11:16:14:	Timestep:24012	Evaluation return -500.000000
2023-05-02 11:16:17:	Timestep:26013	Evaluation return -500.000000
2023-05-02 11:16:20:	Timestep:28014	Evaluation return -500.000000
2023-05-02 11:16:23:	Timestep:30015	Evaluation return -482.400000
2023-05-02 11:16:25:	Timestep:32016	Evaluation return -500.000000
2023-05-02 11:16:28:	Timestep:34017	Evaluation return -500.000000
2023-05-02 11:16:31:	Timestep:36018	Evaluation return -473.000000
2023-05-02 11:16:33:	Timestep:38019	Evaluation return -429.200000
2023-05-02 11:16:35:	Timestep:40000	Evaluation return -418.800000
2023-05-02 11:16:38:	Timestep:42000	Evaluation return -319.800000
2023-05-02 11:16:40:	Timestep:44000	Evaluation return -371.600000
2023-05-02 11:16:43:	Timestep:46000	Evaluation return -347.800000
2023-05-02 11:16:45:	Timestep:48000	Evaluation return -427.600000
2023-05-02 11:16:48:	Timestep:50000	Evaluation return -500.000000
2023-05-02 11:16:50:	Timestep:52000	Evaluation return -203.200000
2023-05-02 11:16:53:	Timestep:54000	Evaluation return -500.000000
2023-05-02 11:16:56:	Timestep:56000	Evaluation return -500.000000
2023-05-02 11:16:59:	Timestep:58000	Evaluation return -500.000000
2023-05-02 11:17:01:	Timestep:60000	Evaluation return -500.000000
2023-05-02 11:17:04:	Timestep:62000	Evaluation return -500.000000
2023-05-02 11:17:06:	Timestep:64000	Evaluation return -381.200000
2023-05-02 11:17:09:	Timestep:66000	Evaluation return -452.200000
2023-05-02 11:17:11:	Timestep:68000	Evaluation return -267.400000
2023-05-02 11:17:13:	Timestep:70000	Evaluation return -203.000000
2023-05-02 11:17:16:	Timestep:72000	Evaluation return -232.800000
2023-05-02 11:17:18:	Timestep:74000	Evaluation return -137.200000
2023-05-02 11:17:20:	Timestep:76000	Evaluation return -174.000000
2023-05-02 11:17:22:	Timestep:78000	Evaluation return -151.200000
2023-05-02 11:17:24:	Timestep:80000	Evaluation return -121.200000
2023-05-02 11:17:26:	Timestep:82000	Evaluation return -165.400000
2023-05-02 11:17:29:	Timestep:84000	Evaluation return -111.400000
2023-05-02 11:17:31:	Timestep:86000	Evaluation return -149.600000
2023-05-02 11:17:33:	Timestep:88000	Evaluation return -135.000000
2023-05-02 11:17:35:	Timestep:90000	Evaluation return -103.800000
2023-05-02 11:17:37:	Timestep:92000	Evaluation return -98.000000
2023-05-02 11:17:39:	Timestep:94000	Evaluation return -112.800000
2023-05-02 11:17:41:	Timestep:96000	Evaluation return -105.600000
