2023-05-02 11:15:42:	logging to ppo/CartPole-v1/2023-05-02-11-15-0-238385
2023-05-02 11:15:42:	saved parameters.txt to ppo/CartPole-v1/2023-05-02-11-15-0-238385/parameters.txt
2023-05-02 11:15:42:	Initializing Environment
2023-05-02 11:15:42:	Initializing Agent
2023-05-02 11:15:42:	Initializing Trainer
2023-05-02 11:15:42:	Started training
2023-05-02 11:15:45:	Timestep:2001	Evaluation return 334.800000
2023-05-02 11:15:47:	Timestep:4000	Evaluation return 286.400000
2023-05-02 11:15:49:	Timestep:6000	Evaluation return 245.200000
2023-05-02 11:15:52:	Timestep:8000	Evaluation return 412.600000
2023-05-02 11:15:54:	Timestep:10000	Evaluation return 500.000000
2023-05-02 11:15:57:	Timestep:12000	Evaluation return 500.000000
2023-05-02 11:16:00:	Timestep:14000	Evaluation return 500.000000
2023-05-02 11:16:03:	Timestep:16000	Evaluation return 500.000000
2023-05-02 11:16:05:	Timestep:18000	Evaluation return 500.000000
2023-05-02 11:16:08:	Timestep:20000	Evaluation return 500.000000
2023-05-02 11:16:11:	Timestep:22000	Evaluation return 500.000000
2023-05-02 11:16:13:	Timestep:24000	Evaluation return 500.000000
2023-05-02 11:16:16:	Timestep:26000	Evaluation return 500.000000
2023-05-02 11:16:19:	Timestep:28000	Evaluation return 500.000000
2023-05-02 11:16:22:	Timestep:30000	Evaluation return 500.000000
2023-05-02 11:16:24:	Timestep:32000	Evaluation return 500.000000
2023-05-02 11:16:27:	Timestep:34000	Evaluation return 500.000000
2023-05-02 11:16:30:	Timestep:36000	Evaluation return 500.000000
2023-05-02 11:16:33:	Timestep:38000	Evaluation return 500.000000
2023-05-02 11:16:35:	Timestep:40000	Evaluation return 500.000000
2023-05-02 11:16:38:	Timestep:42000	Evaluation return 500.000000
2023-05-02 11:16:41:	Timestep:44000	Evaluation return 500.000000
2023-05-02 11:16:43:	Timestep:46000	Evaluation return 500.000000
2023-05-02 11:16:46:	Timestep:48000	Evaluation return 500.000000
2023-05-02 11:16:49:	Timestep:50000	Evaluation return 500.000000
2023-05-02 11:16:52:	Timestep:52000	Evaluation return 500.000000
2023-05-02 11:16:54:	Timestep:54000	Evaluation return 500.000000
2023-05-02 11:16:57:	Timestep:56000	Evaluation return 500.000000
2023-05-02 11:17:00:	Timestep:58000	Evaluation return 500.000000
2023-05-02 11:17:03:	Timestep:60000	Evaluation return 500.000000
2023-05-02 11:17:05:	Timestep:62000	Evaluation return 500.000000
2023-05-02 11:17:08:	Timestep:64000	Evaluation return 500.000000
2023-05-02 11:17:11:	Timestep:66000	Evaluation return 500.000000
2023-05-02 11:17:14:	Timestep:68000	Evaluation return 500.000000
2023-05-02 11:17:16:	Timestep:70000	Evaluation return 500.000000
2023-05-02 11:17:19:	Timestep:72000	Evaluation return 500.000000
2023-05-02 11:17:22:	Timestep:74000	Evaluation return 500.000000
2023-05-02 11:17:25:	Timestep:76000	Evaluation return 500.000000
2023-05-02 11:17:27:	Timestep:78000	Evaluation return 500.000000
2023-05-02 11:17:30:	Timestep:80000	Evaluation return 500.000000
2023-05-02 11:17:33:	Timestep:82000	Evaluation return 500.000000
2023-05-02 11:17:35:	Timestep:84000	Evaluation return 500.000000
2023-05-02 11:17:38:	Timestep:86000	Evaluation return 500.000000
2023-05-02 11:17:41:	Timestep:88000	Evaluation return 500.000000
2023-05-02 11:17:43:	Timestep:90000	Evaluation return 500.000000
2023-05-02 11:17:46:	Timestep:92000	Evaluation return 500.000000
2023-05-02 11:17:49:	Timestep:94000	Evaluation return 500.000000
2023-05-02 11:17:51:	Timestep:96000	Evaluation return 500.000000
2023-05-02 11:17:54:	Timestep:98000	Evaluation return 500.000000
2023-05-02 11:17:57:	Timestep:100000	Evaluation return 500.000000
2023-05-02 11:18:00:	Timestep:102000	Evaluation return 500.000000
2023-05-02 11:18:02:	Timestep:104000	Evaluation return 500.000000
2023-05-02 11:18:05:	Timestep:106000	Evaluation return 500.000000
2023-05-02 11:18:08:	Timestep:108000	Evaluation return 500.000000
2023-05-02 11:18:10:	Timestep:110000	Evaluation return 500.000000
2023-05-02 11:18:13:	Timestep:112000	Evaluation return 500.000000
2023-05-02 11:18:16:	Timestep:114000	Evaluation return 500.000000
2023-05-02 11:18:19:	Timestep:116000	Evaluation return 500.000000
2023-05-02 11:18:21:	Timestep:118000	Evaluation return 500.000000
2023-05-02 11:18:24:	Timestep:120000	Evaluation return 500.000000
2023-05-02 11:18:27:	Timestep:122000	Evaluation return 500.000000
2023-05-02 11:18:29:	Timestep:124000	Evaluation return 500.000000
2023-05-02 11:18:32:	Timestep:126000	Evaluation return 500.000000
2023-05-02 11:18:35:	Timestep:128000	Evaluation return 500.000000
2023-05-02 11:18:38:	Timestep:130000	Evaluation return 500.000000
2023-05-02 11:18:40:	Timestep:132000	Evaluation return 500.000000
2023-05-02 11:18:43:	Timestep:134000	Evaluation return 500.000000
2023-05-02 11:18:46:	Timestep:136000	Evaluation return 500.000000
2023-05-02 11:18:49:	Timestep:138000	Evaluation return 500.000000
2023-05-02 11:18:51:	Timestep:140000	Evaluation return 500.000000
2023-05-02 11:18:54:	Timestep:142000	Evaluation return 500.000000
2023-05-02 11:18:57:	Timestep:144000	Evaluation return 500.000000
2023-05-02 11:18:59:	Timestep:146000	Evaluation return 500.000000
2023-05-02 11:19:02:	Timestep:148000	Evaluation return 500.000000
2023-05-02 11:19:05:	Timestep:150000	Evaluation return 500.000000
2023-05-02 11:19:08:	Timestep:152000	Evaluation return 500.000000
2023-05-02 11:19:10:	Timestep:154000	Evaluation return 500.000000
2023-05-02 11:19:13:	Timestep:156000	Evaluation return 500.000000
2023-05-02 11:19:16:	Timestep:158000	Evaluation return 500.000000
2023-05-02 11:19:18:	Timestep:160000	Evaluation return 500.000000
2023-05-02 11:19:21:	Timestep:162000	Evaluation return 500.000000
2023-05-02 11:19:24:	Timestep:164000	Evaluation return 500.000000
2023-05-02 11:19:27:	Timestep:166000	Evaluation return 500.000000
2023-05-02 11:19:29:	Timestep:168000	Evaluation return 500.000000
2023-05-02 11:19:32:	Timestep:170000	Evaluation return 500.000000
2023-05-02 11:19:35:	Timestep:172000	Evaluation return 500.000000
2023-05-02 11:19:38:	Timestep:174000	Evaluation return 500.000000
2023-05-02 11:19:40:	Timestep:176000	Evaluation return 500.000000
